framerate = 10f
Time (us), Accel_X (mG), Accel_Y (mG), Accel_Z (mG), Gyro_X (mRad/s), Gyro_Y (mRad/s), Gyro_Z (mRad/s), Mag_X (mGauss), Mag_Y (mGauss), Mag_Z (mGauss)
6492542562, -3, -32, -1000, -6, 0, -1, 225, 211, 218
6492542562, -3, -32, -1000, -6, 0, -1, 225, 211, 218
6492642411, 1, -23, -1000, -4, 3, 1, 225, 211, 219
6492642411, 1, -23, -1000, -4, 3, 1, 225, 211, 219
6492742441, -1, -26, -1002, -2, 1, 2, 225, 207, 214
6492742441, -1, -26, -1002, -2, 1, 2, 225, 207, 214
6492842563, -2, -31, -1000, -3, 0, -1, 225, 210, 218
6492842563, -2, -31, -1000, -3, 0, -1, 225, 210, 218
6492942447, -1, -31, -999, -3, 1, -1, 225, 207, 214
6492942447, -1, -31, -999, -3, 1, -1, 225, 207, 214
6493042442, 1, -27, -1001, -4, 3, 1, 225, 211, 219
6493042442, 1, -27, -1001, -4, 3, 1, 225, 211, 219
6493142498, 0, -19, -997, -2, 3, 2, 225, 212, 219
6493142498, 0, -19, -997, -2, 3, 2, 225, 212, 219
6493242382, 0, -18, -999, -3, 0, 8, 225, 212, 219
6493242382, 0, -18, -999, -3, 0, 8, 225, 212, 219
6493342385, 0, -23, -1000, -2, 2, 15, 225, 212, 219
6493342385, 0, -23, -1000, -2, 2, 15, 225, 212, 219
6493442435, -6, -33, -1000, -2, 4, 11, 225, 211, 219
6493442435, -6, -33, -1000, -2, 4, 11, 225, 211, 219
6493542450, -6, -26, -998, -2, -3, -10, 225, 209, 216
6493542450, -6, -26, -998, -2, -3, -10, 225, 209, 216
6493642477, 2, -22, -1006, 0, 1, -11, 225, 210, 218
6493642477, 2, -22, -1006, 0, 1, -11, 225, 210, 218
6493742671, -3, -33, -996, -4, 4, 0, 224, 202, 209
6493742671, -3, -33, -996, -4, 4, 0, 224, 202, 209
6493842499, 0, -28, -998, -5, 1, 16, 225, 195, 201
