Time (us), Accel_X (mG), Accel_Y (mG), Accel_Z (mG), Gyro_X (mRad/s), Gyro_Y (mRad/s), Gyro_Z (mRad/s), Mag_X (mGauss), Mag_Y (mGauss), Mag_Z (mGauss)
6930542431, -2, -12, -994, -2, 1, 100, 281, 378, 292
6930542431, -2, -12, -994, -2, 1, 100, 281, 378, 292
6930642529, -9, -14, -1003, -3, 7, 65, 282, 384, 303
6930642529, -9, -14, -1003, -3, 7, 65, 282, 384, 303
6930742439, -16, -14, -996, -3, 2, 24, 284, 382, 302
6930742439, -16, -14, -996, -3, 2, 24, 284, 382, 302
6930842537, -8, -13, -1001, -4, 1, -1, 284, 382, 303
6930842537, -8, -13, -1001, -4, 1, -1, 284, 382, 303
6930942404, -5, -7, -1000, -4, 2, -10, 284, 382, 304
6930942404, -5, -7, -1000, -4, 2, -10, 284, 382, 304
6931042403, -5, 7, -1000, -3, 2, -17, 284, 374, 296
6931042403, -5, 7, -1000, -3, 2, -17, 284, 374, 296
6931142489, 0, -6, -998, -4, 3, -13, 284, 382, 303
6931142489, 0, -6, -998, -4, 3, -13, 284, 382, 303
6931242477, -2, -14, -999, -3, 1, -12, 284, 383, 304
6931242477, -2, -14, -999, -3, 1, -12, 284, 383, 304
6931342465, -3, -8, -999, -4, 2, -23, 284, 383, 303
6931342465, -3, -8, -999, -4, 2, -23, 284, 383, 303
6931442484, -1, -5, -1001, -4, 1, -32, 284, 383, 302
6931442484, -1, -5, -1001, -4, 1, -32, 284, 383, 302
6931542463, -6, -4, -1000, -4, 2, -40, 283, 385, 303
6931542463, -6, -4, -1000, -4, 2, -40, 283, 385, 303
6931642398, -1, -15, -1001, -3, 2, -43, 282, 385, 303
6931642398, -1, -15, -1001, -3, 2, -43, 282, 385, 303
6931742503, -17, -8, -1001, -4, 0, -61, 281, 383, 300
6931742503, -17, -8, -1001, -4, 0, -61, 281, 383, 300
6931842406, -15, -5, -998, -4, 2, -110, 280, 387, 302
6931842406, -15, -5, -998, -4, 2, -110, 280, 387, 302
6931942440, -8, -1, -1004, -4, 0, -136, 278, 391, 303
6931942440, -8, -1, -1004, -4, 0, -136, 278, 391, 303
6932042503, -10, -4, -996, -4, 2, -152, 276, 393, 301
6932042503, -10, -4, -996, -4, 2, -152, 276, 393, 301
6932142508, 4, -10, -1004, -4, 1, -147, 273, 397, 300
6932142508, 4, -10, -1004, -4, 1, -147, 273, 397, 300
6932242436, 0, 0, -1002, -6, -2, -123, 270, 402, 300
6932242436, 0, 0, -1002, -6, -2, -123, 270, 402, 300
6932342434, 7, 0, -1001, -4, 0, -93, 268, 403, 300
6932342434, 7, 0, -1001, -4, 0, -93, 268, 403, 300
6932442374, -9, -5, -1004, -4, 3, -75, 267, 406, 297
6932442374, -9, -5, -1004, -4, 3, -75, 267, 406, 297
6932542452, -22, -21, -1006, -5, -1, -94, 265, 408, 298
6932542452, -22, -21, -1006, -5, -1, -94, 265, 408, 298
6932642479, -3, 0, -997, -6, 1, -133, 263, 409, 296
6932642479, -3, 0, -997, -6, 1, -133, 263, 409, 296
6932742429, 3, 5, -1000, -6, 3, -132, 261, 410, 293
6932742429, 3, 5, -1000, -6, 3, -132, 261, 410, 293
6932842418, -15, 12, -994, -8, 2, -123, 258, 416, 296
6932842418, -15, 12, -994, -8, 2, -123, 258, 416, 296
6932942653, -7, -1, -991, -5, -2, -150, 256, 419, 296
6932942653, -7, -1, -991, -5, -2, -150, 256, 419, 296
6933042409, -6, -1, -985, -5, 2, -173, 253, 421, 293
6933042409, -6, -1, -985, -5, 2, -173, 253, 421, 293
6933142451, -5, 1, -985, -5, 0, -203, 250, 426, 292
6933142451, -5, 1, -985, -5, 0, -203, 250, 426, 292
6933242444, -1, 18, -990, -5, -2, -212, 246, 433, 293
6933242444, -1, 18, -990, -5, -2, -212, 246, 433, 293
6933342425, -9, 7, -995, -5, 7, -223, 242, 436, 291
6933342425, -9, 7, -995, -5, 7, -223, 242, 436, 291
6933442494, -10, -13, -1003, -3, 3, -251, 237, 440, 289
6933442494, -10, -13, -1003, -3, 3, -251, 237, 440, 289
6933542497, -12, -14, -999, -5, 0, -281, 232, 447, 288
6933542497, -12, -14, -999, -5, 0, -281, 232, 447, 288
6933642469, 2, -3, -999, -5, 1, -301, 226, 452, 287
6933642469, 2, -3, -999, -5, 1, -301, 226, 452, 287
6933742406, -4, 7, -996, -6, -5, -300, 219, 457, 283
6933742406, -4, 7, -996, -6, -5, -300, 219, 457, 283
6933842498, -7, 8, -1004, -6, 6, -295, 212, 465, 284
6933842498, -7, 8, -1004, -6, 6, -295, 212, 465, 284
6933942373, -1, 0, -999, -6, 0, -310, 205, 471, 283
6933942373, -1, 0, -999, -6, 0, -310, 205, 471, 283
6934042451, 0, -2, -999, -6, 0, -319, 197, 476, 279
6934042451, 0, -2, -999, -6, 0, -319, 197, 476, 279
6934242516, 4, -16, -998, -6, 0, -273, 181, 489, 278
6934242516, 4, -16, -998, -6, 0, -273, 181, 489, 278
6934342377, 0, 0, -999, -7, 2, -249, 174, 492, 275
6934342377, 0, 0, -999, -7, 2, -249, 174, 492, 275
6934442439, -8, -5, -999, -5, 4, -241, 167, 497, 275
6934442439, -8, -5, -999, -5, 4, -241, 167, 497, 275
6934542705, -10, -4, -999, -8, 3, -267, 160, 502, 275
6934542705, -10, -4, -999, -8, 3, -267, 160, 502, 275
6934642711, -2, 0, -1000, -6, 5, -274, 152, 506, 274
6934642711, -2, 0, -1000, -6, 5, -274, 152, 506, 274
6934742474, -8, 4, -1001, -6, 4, -281, 144, 503, 264
6934742474, -8, 4, -1001, -6, 4, -281, 144, 503, 264
6934842394, -12, 0, -1000, -5, 3, -299, 136, 512, 268
6934842394, -12, 0, -1000, -5, 3, -299, 136, 512, 268
6934942403, -5, 0, -999, -5, 6, -319, 127, 516, 268
6934942403, -5, 0, -999, -5, 6, -319, 127, 516, 268
6935042500, 8, -3, -1000, -6, 9, -311, 117, 519, 265
6935042500, 8, -3, -1000, -6, 9, -311, 117, 519, 265
6935142520, -6, -5, -1005, -5, 4, -302, 107, 523, 264
6935142520, -6, -5, -1005, -5, 4, -302, 107, 523, 264
6935242470, -1, -5, -998, -4, 4, -291, 97, 526, 263
6935242470, -1, -5, -998, -4, 4, -291, 97, 526, 263
6935342474, 7, -14, -999, -6, 4, -286, 87, 527, 260
6935342474, 7, -14, -999, -6, 4, -286, 87, 527, 260
6935442385, 7, 8, -998, -4, 5, -276, 77, 530, 259
6935442385, 7, 8, -998, -4, 5, -276, 77, 530, 259
6935542466, -6, -4, -1002, -3, 0, -284, 68, 532, 258
6935542466, -6, -4, -1002, -3, 0, -284, 68, 532, 258
6935642424, -3, -8, -999, -4, 1, -303, 58, 533, 256
6935642424, -3, -8, -999, -4, 1, -303, 58, 533, 256
6935742421, -3, 0, -1003, -5, 3, -318, 47, 532, 253
6935742421, -3, 0, -1003, -5, 3, -318, 47, 532, 253
6935842425, 2, 5, -999, -6, -5, -318, 37, 535, 253
6935842425, 2, 5, -999, -6, -5, -318, 37, 535, 253
6935942575, -9, -7, -1001, -3, 0, -320, 25, 536, 252
6935942575, -9, -7, -1001, -3, 0, -320, 25, 536, 252
6936042448, -9, 0, -1002, -6, 8, -335, 14, 529, 243
6936042448, -9, 0, -1002, -6, 8, -335, 14, 529, 243
6936142442, 5, -1, -998, -8, 2, -343, 2, 531, 244
6936142442, 5, -1, -998, -8, 2, -343, 2, 531, 244
6936242429, 1, 0, -1000, -6, -9, -350, -9, 535, 247
6936242429, 1, 0, -1000, -6, -9, -350, -9, 535, 247
6936342404, -11, 16, -998, -6, -6, -351, -22, 533, 245
6936342404, -11, 16, -998, -6, -6, -351, -22, 533, 245
6936442544, -6, 0, -1001, -7, 0, -361, -35, 531, 245
6936442544, -6, 0, -1001, -7, 0, -361, -35, 531, 245
6936542476, -1, 12, -997, -8, 5, -368, -48, 530, 245
6936542476, -1, 12, -997, -8, 5, -368, -48, 530, 245
6936642419, 5, 7, -1003, -4, 1, -349, -62, 526, 243
6936642419, 5, 7, -1003, -4, 1, -349, -62, 526, 243
6936742385, 0, 0, -1002, -7, 0, -323, -75, 524, 242
6936742385, 0, 0, -1002, -7, 0, -323, -75, 524, 242
6936842571, 4, -3, -1000, -4, 0, -310, -87, 524, 245
6936842571, 4, -3, -1000, -4, 0, -310, -87, 524, 245
6936942370, -7, 0, -1000, -4, -2, -294, -99, 521, 245
6936942370, -7, 0, -1000, -4, -2, -294, -99, 521, 245
6937042385, -3, 1, -998, -5, 0, -302, -110, 515, 244
6937042385, -3, 1, -998, -5, 0, -302, -110, 515, 244
6937142565, -5, 1, -1000, -5, -2, -313, -120, 513, 245
6937142565, -5, 1, -1000, -5, -2, -313, -120, 513, 245
6937242496, -14, -8, -994, -7, 5, -326, -131, 509, 246
6937242496, -14, -8, -994, -7, 5, -326, -131, 509, 246
6937342446, -1, -18, -1001, -6, 2, -333, -143, 502, 245
6937342446, -1, -18, -1001, -6, 2, -333, -143, 502, 245
6937442433, 2, 17, -1000, -4, 1, -303, -155, 498, 247
6937442433, 2, 17, -1000, -4, 1, -303, -155, 498, 247
6937542406, 4, -6, -998, -4, 0, -262, -166, 492, 248
6937542406, 4, -6, -998, -4, 0, -262, -166, 492, 248
6937642393, -1, 0, -999, -4, 4, -236, -175, 486, 246
6937642393, -1, 0, -999, -4, 4, -236, -175, 486, 246
6937742514, -5, -3, -998, -3, 1, -229, -183, 480, 247
6937742514, -5, -3, -998, -3, 1, -229, -183, 480, 247
6937842435, -6, 8, -999, -5, 0, -240, -191, 478, 250
6937842435, -6, 8, -999, -5, 0, -240, -191, 478, 250
6937942427, -15, -8, -999, -4, 0, -257, -199, 470, 248
6937942427, -15, -8, -999, -4, 0, -257, -199, 470, 248
6938042492, -10, -7, -1000, -8, 0, -289, -207, 465, 249
6938042492, -10, -7, -1000, -8, 0, -289, -207, 465, 249
6938142487, -6, 1, -1002, -4, 3, -319, -216, 458, 249
6938142487, -6, 1, -1002, -4, 3, -319, -216, 458, 249
6938242410, -8, 13, -999, -5, 0, -321, -226, 451, 252
6938242410, -8, 13, -999, -5, 0, -321, -226, 451, 252
6938342444, -3, 2, -1001, -5, 1, -317, -235, 442, 252
6938342444, -3, 2, -1001, -5, 1, -317, -235, 442, 252
6938442389, 0, 2, -999, -7, 2, -311, -245, 435, 255
6938442389, 0, 2, -999, -7, 2, -311, -245, 435, 255
6938542600, -14, 3, -1000, -7, 7, -307, -254, 427, 256
6938542600, -14, 3, -1000, -7, 7, -307, -254, 427, 256
6938642499, -15, -13, -1002, -4, 5, -324, -263, 418, 258
6938642499, -15, -13, -1002, -4, 5, -324, -263, 418, 258
6938742418, -9, -9, -1002, -5, 5, -355, -272, 409, 260
6938742418, -9, -9, -1002, -5, 5, -355, -272, 409, 260
6938842383, -9, -1, -999, -8, 11, -359, -281, 400, 263
6938842383, -9, -1, -999, -8, 11, -359, -281, 400, 263
6938942435, -7, 9, -999, -4, 2, -352, -290, 388, 265
6938942435, -7, 9, -999, -4, 2, -352, -290, 388, 265
6939042455, 0, 3, -1001, -4, 5, -339, -298, 376, 265
6939042455, 0, 3, -1001, -4, 5, -339, -298, 376, 265
6939142507, 4, -2, -1000, -4, 1, -320, -306, 368, 270
6939142507, 4, -2, -1000, -4, 1, -320, -306, 368, 270
6939342418, 2, 10, -1001, -5, 5, -281, -319, 346, 272
6939342418, 2, 10, -1001, -5, 5, -281, -319, 346, 272
6939442538, 0, 3, -1002, -3, 2, -263, -325, 338, 276
6939442538, 0, 3, -1002, -3, 2, -263, -325, 338, 276
6939542456, 0, -5, -1000, -2, 0, -243, -330, 329, 278
6939542456, 0, -5, -1000, -2, 0, -243, -330, 329, 278
6939642398, -4, -4, -1001, -3, 0, -229, -334, 320, 279
6939642398, -4, -4, -1001, -3, 0, -229, -334, 320, 279
6939742892, -6, -4, -1001, -4, 0, -235, -339, 313, 282
6939742892, -6, -4, -1001, -4, 0, -235, -339, 313, 282
6939842662, -8, -14, -1000, -3, 3, -247, -342, 305, 283
6939842662, -8, -14, -1000, -3, 3, -247, -342, 305, 283
6939942431, -5, -1, -1000, -4, 0, -275, -346, 290, 277
6939942431, -5, -1, -1000, -4, 0, -275, -346, 290, 277
6940042440, -10, 5, -998, -7, 3, -285, -350, 289, 290
6940042440, -10, 5, -998, -7, 3, -285, -350, 289, 290
6940142564, -8, -10, -1002, -3, 0, -298, -354, 280, 293
6940142564, -8, -10, -1002, -3, 0, -298, -354, 280, 293
6940242484, -1, -1, -997, -4, 0, -300, -358, 270, 296
6940242484, -1, -1, -997, -4, 0, -300, -358, 270, 296
6940342445, 3, -5, -999, -4, 1, -296, -361, 258, 297
6940342445, 3, -5, -999, -4, 1, -296, -361, 258, 297
6940442428, 0, 2, -1004, -6, 4, -298, -365, 249, 301
6940442428, 0, 2, -1004, -6, 4, -298, -365, 249, 301
6940642422, -6, 2, -999, -6, 1, -301, -370, 219, 297
6940642422, -6, 2, -999, -6, 1, -301, -370, 219, 297
6940742608, -1, 4, -998, -6, 4, -310, -373, 216, 308
6940742608, -1, 4, -998, -6, 4, -310, -373, 216, 308
6940842389, -7, 5, -1002, -5, 4, -316, -375, 207, 312
6940842389, -7, 5, -1002, -5, 4, -316, -375, 207, 312
6940942397, 6, 0, -1000, -4, 5, -296, -377, 195, 315
6940942397, 6, 0, -1000, -4, 5, -296, -377, 195, 315
6941042519, 3, -24, -1002, -4, 3, -264, -378, 184, 318
6941042519, 3, -24, -1002, -4, 3, -264, -378, 184, 318
6941142472, 3, -16, -1001, -5, 0, -259, -379, 169, 315
6941142472, 3, -16, -1001, -5, 0, -259, -379, 169, 315
6941242465, -2, -14, -1000, -4, 4, -255, -380, 165, 324
6941242465, -2, -14, -1000, -4, 4, -255, -380, 165, 324
6941342489, -8, 0, -1000, -4, 3, -263, -380, 155, 326
6941342489, -8, 0, -1000, -4, 3, -263, -380, 155, 326
6941442450, 2, -5, -1000, -4, 7, -274, -380, 148, 329
6941442450, 2, -5, -1000, -4, 7, -274, -380, 148, 329
6941542445, 0, -7, -1001, -2, 3, -276, -380, 137, 332
6941542445, 0, -7, -1001, -2, 3, -276, -380, 137, 332
6941642414, 7, -2, -999, -4, -1, -262, -380, 126, 334
6941642414, 7, -2, -999, -4, -1, -262, -380, 126, 334
6941742368, -1, -11, -1001, -5, 1, -258, -379, 115, 334
6941742368, -1, -11, -1001, -5, 1, -258, -379, 115, 334
6941842382, -8, -4, -1004, -4, 1, -271, -378, 108, 341
6941842382, -8, -4, -1004, -4, 1, -271, -378, 108, 341
6941942455, -1, 1, -997, -4, 2, -280, -376, 97, 342
6941942455, -1, 1, -997, -4, 2, -280, -376, 97, 342
6942042549, -9, -11, -999, -4, 1, -288, -375, 86, 343
6942042549, -9, -11, -999, -4, 1, -288, -375, 86, 343
6942142499, -2, -12, -1003, -4, 1, -304, -372, 78, 349
6942142499, -2, -12, -1003, -4, 1, -304, -372, 78, 349
6942242447, 0, -11, -999, -4, 2, -308, -370, 66, 351
6942242447, 0, -11, -999, -4, 2, -308, -370, 66, 351
6942342376, 1, 6, -1000, -7, 0, -309, -367, 55, 353
6942342376, 1, 6, -1000, -7, 0, -309, -367, 55, 353
6942442445, 0, -3, -996, -5, 0, -301, -363, 49, 359
6942442445, 0, -3, -996, -5, 0, -301, -363, 49, 359
6942542467, 0, 1, -998, -4, 0, -281, -359, 36, 360
6942542467, 0, 1, -998, -4, 0, -281, -359, 36, 360
6942642404, 1, -4, -1001, -5, 5, -259, -356, 24, 362
6942642404, 1, -4, -1001, -5, 5, -259, -356, 24, 362
6942842566, 3, -8, -999, -6, 4, -257, -348, 8, 369
6942842566, 3, -8, -999, -6, 4, -257, -348, 8, 369
6942942375, 1, -12, -1001, -6, 1, -254, -343, -1, 369
6942942375, 1, -12, -1001, -6, 1, -254, -343, -1, 369
6943042387, 4, -3, -1000, -7, 2, -249, -339, -8, 373
6943042387, 4, -3, -1000, -7, 2, -249, -339, -8, 373
6943142492, -1, 1, -1001, -6, 2, -245, -334, -16, 375
6943142492, -1, 1, -1001, -6, 2, -245, -334, -16, 375
6943242376, -1, -2, -998, -5, 0, -233, -329, -23, 378
6943242376, -1, -2, -998, -5, 0, -233, -329, -23, 378
6943342533, 3, -17, -999, -3, 3, -226, -325, -31, 379
6943342533, 3, -17, -999, -3, 3, -226, -325, -31, 379
6943442490, -4, -10, -997, -3, 5, -235, -320, -36, 384
6943442490, -4, -10, -997, -3, 5, -235, -320, -36, 384
6943542422, -5, -8, -998, -7, 0, -267, -315, -44, 384
6943542422, -5, -8, -998, -7, 0, -267, -315, -44, 384
6943642365, 9, 10, -1003, -5, 3, -269, -309, -53, 386
6943642365, 9, 10, -1003, -5, 3, -269, -309, -53, 386
6943742497, 11, -6, -1000, -4, 0, -222, -302, -61, 388
6943742497, 11, -6, -1000, -4, 0, -222, -302, -61, 388
6943842395, 5, -14, -997, -3, 3, -182, -296, -66, 391
6943842395, 5, -14, -997, -3, 3, -182, -296, -66, 391
6943942474, 0, -14, -998, -2, 3, -177, -291, -72, 392
6943942474, 0, -14, -998, -2, 3, -177, -291, -72, 392
6944042522, 2, -16, -1000, -5, 0, -182, -286, -76, 394
